trial_id,n_features_selected,hidden_size,num_layers,dropout,deep_head,use_attention,num_heads,learning_rate,batch_size,weight_decay,patience,gradient_clip,shuffle_train,scheduler_patience,scheduler_factor,stability_ratio,min_features,best_val_rmse,test_r2,test_rmse,test_mae,test_mse,elapsed_sec,status
0,15,128,1,0.3,True,True,2,0.0001,2048,0.0,30,,True,3,0.3,0.4,15,0.7040770338508623,-0.06721127033233643,1.2822989380188994,0.7277560830116272,1.644290566444397,8.062434,ok
1,20,128,2,0.4,True,False,8,0.0005,512,1e-05,30,,False,5,0.3,0.4,20,0.5883430653432393,0.02794206142425537,1.2237991500039849,0.5851249098777771,1.497684359550476,4.971835,ok
2,20,128,1,0.4,True,False,4,0.002,1024,0.0,30,,True,5,0.3,0.5,20,0.5743869790099612,0.03658914566040039,1.2183437648505782,0.5792286396026611,1.4843615293502808,2.942898,ok
3,15,256,1,0.1,True,False,2,0.0002,512,0.001,20,,False,3,0.5,0.5,15,0.5798899415991604,0.03391605615615845,1.2200328237776927,0.5823225378990173,1.4884800910949707,8.961718,ok
4,30,384,1,0.2,True,True,4,0.001,1024,1e-05,30,2.0,True,3,0.3,0.5,30,0.5827098957197641,0.012592136859893799,1.2334239047963336,0.6165603399276733,1.5213345289230347,13.463101,ok
5,30,384,1,0.2,False,True,8,0.001,1024,0.001,10,2.0,True,3,0.7,0.5,30,0.5917977664614801,0.013484597206115723,1.232866403539879,0.6093993186950684,1.519959568977356,14.354754,ok
6,30,512,3,0.2,True,False,2,0.0001,512,1e-05,30,1.0,False,10,0.3,0.6,30,0.5830943174922278,0.01135563850402832,1.2341959859716913,0.586933970451355,1.5232397317886353,24.950348,ok
7,15,512,3,0.1,True,False,8,0.0005,512,0.0001,20,1.0,False,3,0.7,0.5,15,0.5793092046890378,0.007387399673461914,1.2366704240949227,0.5910744667053223,1.5293537378311157,25.07608,ok
8,20,128,3,0.2,True,False,2,0.002,2048,0.0,30,2.0,False,3,0.3,0.5,20,0.5875778437415985,-0.020597219467163086,1.2539818761723542,0.6056707501411438,1.5724705457687378,6.343828,ok
9,15,256,1,0.2,True,True,8,0.001,512,1e-05,10,,True,5,0.7,0.6,15,0.5980587613217727,0.022823452949523926,1.2270170693675322,0.5930298566818237,1.505570888519287,10.239562,ok
10,15,256,3,0.4,False,False,8,0.001,512,1e-05,10,0.5,False,3,0.7,0.4,15,0.5898547883651102,-0.016284942626953125,1.2513299066293087,0.6283755898475647,1.5658265352249146,10.834475,ok
11,15,128,1,0.1,True,True,2,0.0005,512,1e-05,20,,True,10,0.3,0.6,15,0.590209375685145,-0.004820823669433594,1.2442521504909947,0.6062633991241455,1.5481634140014648,5.576587,ok
12,10,512,4,0.2,True,True,8,0.001,1024,0.001,20,,True,10,0.7,0.3,10,0.5848000575273442,0.021015703678131104,1.228151494873638,0.603212296962738,1.5083560943603516,434.184382,ok
13,30,512,3,0.1,True,True,2,0.002,1024,1e-05,20,1.0,False,5,0.3,0.3,30,0.677495748841221,-0.00840771198272705,1.2464709054953749,0.6440894603729248,1.55368971824646,87.170187,ok
14,30,128,1,0.1,True,True,2,0.001,1024,0.001,10,,True,3,0.5,0.3,30,0.6193598359123902,-0.0300445556640625,1.2597723435806791,0.6975840330123901,1.5870263576507568,31.191446,ok
15,15,384,4,0.3,False,False,2,0.0002,1024,1e-05,10,0.5,False,3,0.3,0.6,15,0.5977616488632392,-0.025449037551879883,1.2569590451192822,0.610346794128418,1.5799460411071777,81.693997,ok
16,20,128,1,0.2,True,True,8,0.0002,1024,0.0,30,1.0,True,10,0.3,0.6,20,0.613685245781869,-0.007912397384643555,1.2461647802694655,0.6310189366340637,1.5529266595840454,157.953387,ok
17,10,384,2,0.3,True,False,4,0.0002,2048,0.0001,20,2.0,True,3,0.5,0.3,10,0.6243825433870089,-0.008499860763549805,1.2465279041078883,0.628754198551178,1.5538318157196045,84.905163,ok
18,10,256,3,0.2,False,True,2,0.0005,1024,1e-05,20,2.0,True,10,0.7,0.5,10,0.5850903066965805,0.019377589225769043,1.2291785848438463,0.6287628412246704,1.5108799934387207,113.805379,ok
19,30,256,3,0.1,True,True,4,0.0005,2048,1e-05,30,2.0,True,10,0.7,0.5,30,0.5841688076118191,-0.04965019226074219,1.2717050106038963,0.6378049850463867,1.6172336339950562,51.657015,ok
