index,feature_name
2,FLUX_VU
15,RN_DAY_368
23,RN_DAY_541
36,TAxHM_368
52,TD_mean
57,HM_mean
64,TA_minus_TD_min
117,VPD_368
119,VPD_541
121,VPD_569
124,TOC_load
127,TOC_div_SS
172,TA_541_roll_mean_3
185,HM_541_roll_min_3
254,TOC_VU_roll_max_6
262,TD_368_roll_mean_6
279,TD_541_roll_max_6
332,FLUX_VU_roll_mean_12
334,FLUX_VU_roll_max_12
337,TN_VU_roll_mean_12
354,TOC_VU_roll_max_12
365,TD_368_roll_min_12
377,TD_541_roll_mean_12
379,TD_541_roll_max_12
392,TD_569_roll_mean_12
394,TD_569_roll_max_12
432,FLUX_VU_roll_mean_36
433,FLUX_VU_roll_std_36
434,FLUX_VU_roll_max_36
435,FLUX_VU_roll_min_36
437,TN_VU_roll_mean_36
438,TN_VU_roll_std_36
441,TN_VU_roll_IQR_36
451,SS_VU_roll_IQR_36
452,TOC_VU_roll_mean_36
453,TOC_VU_roll_std_36
454,TOC_VU_roll_max_36
460,TA_368_roll_min_36
462,TD_368_roll_mean_36
467,HM_368_roll_mean_36
469,HM_368_roll_max_36
471,HM_368_roll_IQR_36
484,HM_541_roll_max_36
492,TD_569_roll_mean_36
495,TD_569_roll_min_36
541,TD_541_roll_slope_6
553,TN_VU_roll_slope_12
560,TA_541_roll_slope_12
561,TD_541_roll_slope_12
562,HM_541_roll_slope_12
572,FLUX_VU_roll_slope_24
573,TN_VU_roll_slope_24
576,TOC_VU_roll_slope_24
578,TD_368_roll_slope_24
584,TD_569_roll_slope_24
638,FLUX_VU_lag_3h
670,TD_368_lag_6h
676,TD_541_lag_6h
685,TN_VU_lag_12h
711,TOC_VU_lag_24h
715,TA_368_lag_24h
717,HM_368_lag_24h
721,TA_541_lag_24h
722,TD_541_lag_24h
723,HM_541_lag_24h
727,TA_569_lag_24h
729,HM_569_lag_24h
730,FLUX_VU_lag_36h
731,TN_VU_lag_36h
751,TD_569_lag_36h
752,HM_569_lag_36h
753,d_FLUX_VU
783,doy_sin
784,doy_cos
