index,feature_name
5,flow_TankA
11,TA_368
19,TA_541
27,TA_569
48,TA_max
106,dry_minutes_569
124,TOC_load
142,TP_VU_roll_mean_3
143,TP_VU_roll_std_3
144,TP_VU_roll_max_3
146,TP_VU_roll_IQR_3
159,TA_368_roll_max_3
172,TA_541_roll_mean_3
189,TA_569_roll_max_3
242,TP_VU_roll_mean_6
248,SS_VU_roll_std_6
289,TA_569_roll_max_6
339,FLUX_VU_roll_max_12
347,SS_VU_roll_mean_12
380,TD_541_roll_min_12
439,FLUX_VU_roll_max_36
442,TP_VU_roll_mean_36
443,TP_VU_roll_std_36
446,TP_VU_roll_IQR_36
447,SS_VU_roll_mean_36
448,SS_VU_roll_std_36
456,TOC_VU_roll_IQR_36
460,TA_368_roll_min_36
472,TA_541_roll_mean_36
475,TA_541_roll_min_36
481,TD_541_roll_IQR_36
490,TA_569_roll_min_36
560,TA_541_roll_slope_12
563,TA_569_roll_slope_12
574,TP_VU_roll_slope_24
606,TA_541_lag_1h
612,TA_569_lag_1h
640,TP_VU_lag_3h
685,FLUX_VU_lag_12h
715,TA_368_lag_24h
721,TA_541_lag_24h
727,TA_569_lag_24h
731,FLUX_VU_lag_36h
753,d_PH_VU
