index,feature_name
3,TN_VU
128,log1p_TN_TP
149,TP_VU_roll_max_3
248,TP_VU_roll_std_6
274,TA_541_roll_max_6
348,TP_VU_roll_std_12
353,SS_VU_roll_std_12
357,TA_368_roll_mean_12
362,TD_368_roll_mean_12
363,TD_368_roll_std_12
374,TA_541_roll_max_12
377,TD_541_roll_mean_12
378,TD_541_roll_std_12
381,TD_541_roll_IQR_12
387,TA_569_roll_mean_12
389,TA_569_roll_max_12
392,TD_569_roll_mean_12
393,TD_569_roll_std_12
395,TD_569_roll_min_12
452,SS_VU_roll_mean_36
463,TD_368_roll_std_36
466,TD_368_roll_IQR_36
478,TD_541_roll_std_36
493,TD_569_roll_std_36
496,TD_569_roll_IQR_36
536,SS_VU_roll_slope_6
555,TP_VU_roll_slope_12
594,TN_VU_lag_1h
641,TP_VU_lag_3h
646,TA_368_lag_3h
682,TD_569_lag_6h
683,HM_569_lag_6h
687,TP_VU_lag_12h
709,TN_VU_lag_24h
783,doy_sin
784,doy_cos
